code	producer_product_id	producer_version_id	lc	product_name_ca	product_name_cs	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_gl	product_name_it	product_name_la	product_name_nl	product_name_pt	product_name_sv	product_name_xx	abbreviated_product_name_fr	generic_name_ca	generic_name_de	generic_name_en	generic_name_es	generic_name_fr	generic_name_it	generic_name_nl	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_cs	origin_es	manufacturing_places	manufacturing_places_tags	producer_es	producer_fr	producer_it	producer_nl	emb_codes	emb_codes_tags	ingredients_text_ca	ingredients_text_cs	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_it	ingredients_text_nl	ingredients_text_pt	ingredients_text_sv	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	omega-3-fat_value	omega-3-fat_unit	omega-6-fat_value	omega-6-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	added-sugars_value	added-sugars_unit	fructose_value	fructose_unit	polyols_value	polyols_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	bicarbonate_value	bicarbonate_unit	calcium_value	calcium_unit	iron_value	iron_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	cocoa_value	cocoa_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	conservation_conditions_es	conservation_conditions_fr	conservation_conditions_it	conservation_conditions_nl	warning_fr	warning_nl	nutriscore_score_producer	nutriscore_grade_producer	customer_service_es	customer_service_fr	customer_service_it	customer_service_nl	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	sources_fields:org-gs1:productionVariantDescription	sources_fields:org-gs1:publicationDateTime	data_sources
8402001011771			en			Melocoton Pessego 0% Azucares				Melocotón 0% Azúcares Añadidos															380g	25 g			Hacendado	hacendado		Plant-based foods and beverages, Plant-based foods, Breakfasts, Spreads, Plant-based spreads, Sweet spreads, Fruit and vegetable preserves, Jams	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams	No added sugar, No colorings	en:no-added-sugar,en:no-colorings	Germany, Spain	en:germany,en:spain	Hacendado	hacendado	0																													100g	100g	167	kJ	40	kcal	0	g			10.2	g	5.1	g			0.6	g	0	g	0	g			167	kJ																																																														en:sweets	en:sugary-snacks,en:sweets		unknown	b	0	b	60	1	31024	-5	-15	1	0																App - smoothie-openfoodfacts, Apps, App - Speisekammer, App - macrofactor
3174069950013		Variante unique	fr					Auchan clementina y naranja	Clémentine orange de Corse								Auchan gourmet preparation de cleme					Préparation d'oranges et clémentines de Corse			0.31 kg				auchan,Auchan Gourmet	auchan,auchan-gourmet		"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Confitures"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams	Point Vert, Nutriscore	en:green-dot,en:nutriscore	France, Espagne, Monde	en:france,en:spain,en:world	Auchan	auchan	0																			Fruits 42% (Oranges 21%, Clémentines 21%), sucre, eau, jus de citron concentré, gélifiant : pectine de fruits. Préparée avec 42g de fruits pour 100g.					en:Orange	en:orange				100g	100g	782	kJ	184	kcal	0.5	g	0.1	g	45	g	41	g	0.8	g	0.5	g	0.02	g	0.008	g			782	kJ																																																		Craint la chaleur et l'humidité.						c						en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	c	10	b	60	1	31024	-5	-15	1	0								3665257010010	10000217	Confitures/Marmelades/Gelées (Longue Conservation)	false	2024-06-05T19:54:03.495	AUCHAN APAW	Variante unique	2024-06-05T19:54:03.589	App - yuka, Apps, Producers, Producer - auchan-apaw, Database - Agena3000, Database - GDSN, Databases
8410095008461			fr						Marmelade de pêche	Mermelada Extra Melocotón																30 g			Helios	helios		"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Confitures, Confitures de pêches"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:peach-jams	Sans gluten, Fabriqué en Espagne, Sans sucre ajouté, Avec édulcorants	en:no-gluten,en:made-in-spain,en:no-added-sugar,en:with-sweeteners	France, Espagne	en:france,en:spain			0																													100g	100g	197	kJ	47	kcal	0	g	0	g	17	g	5.4	g	5.9	g	0.5	g	0	g	0	g			197	kJ																															60	g																														en:sweets	en:sugary-snacks,en:sweets		unknown	a	-5	b	70	1	31037	-5	-15	1	0																App - yuka, Apps, App - macrofactor
8435027206487			es					Mermelada de higos con dátiles																								Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de higos	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:figs-jams	Sin gluten	en:no-gluten	España	en:spain			0																													100g	100g			23	kcal	0	g	0	g	44	g	42	g			0.6	g							23	kcal																																																														en:sweets	en:sugary-snacks,en:sweets		unknown	unknown		b	60	1	31024	-5	-15	1	0																App - Yuka, Apps
8410095043585			es																													Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de ciruela	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:plum-jams	Punto Verde, Sin azúcares añadidos, Nutriscore, Nutriscore A	en:green-dot,en:no-added-sugar,en:nutriscore,en:nutriscore-grade-a	España	en:spain	Auchan, Alcampo	auchan,alcampo	0																													100g	100g																																																																																						en:sweets	en:sugary-snacks,en:sweets		unknown	unknown		b	70	1	31037	-5	-15	1	0																App - smoothie-openfoodfacts, Apps
7791113000911			es					mermelada de frutilla																	454 g	20 g	Vidrio	en:glass	Emeth	emeth		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de frutas del bosque, Surtidos de mermeladas, Mermeladas, Mermeladas y confituras de fresa	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:berry-jams,en:assorted-jams,en:marmalades,en:strawberry-jams			España	en:spain			0						Chile	chile											Jarabe de maiz de alta fructosa, Pulpa de frutilla, Gelificante (E407), Acidulante (E330), Espesantes (E410, E466), Conservantes (Benzoato de Sodio, Sorbato de Potasio). Aromatizante (Esencia Artificial de Frutilla), Gelificante (E440), Colorantes (E129, E150d).						Dióxido de azufre y sulfitos	en:sulphur-dioxide-and-sulphites				100g	100g	1050	kJ	250	kcal	0	g	0	g	65	g	0	g	5	g	0.1	g	0.00105	g	0.00042	g			1050	kJ																																					en:glass																									en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	a	-2	b	73		31024	-5	-2	0	0																App - El CoCo, App - Open Food Facts, Apps, App - smoothie-openfoodfacts
3396745002223			fr					Mermelada albaricoque	Abricot 100% issu des fruits																210 G				Maison Francis Miot	maison-francis-miot		"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Produits à tartiner, Surgelés, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Confitures, Confitures d'abricot, es:Mermelada albaricoque"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:frozen-foods,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:apricot-jams,es:mermelada-albaricoque			Espagne	en:spain			0																			Sucres extraits de fruits 49%, abricot 49%, jus de citron, gélifiant : pectine (issue de fruits).										100g	100g			165	kcal	0.5	g	0.10000000149012	g	39	g	38	g			0.80000001192093	g	0.01	g	0.004	g			165	kcal																																																														en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	c	9	b	70	1	31037	-5	-15	1	0																App - yuka, Apps
8480000134417			es					Mermelada extra de fresa													Mermelada extra de fresa				250 g	10g	Green dot	es:green-dot	Hacendado	hacendado		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Desayunos, Untables, Frutas y sus productos, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de frutas del bosque, Mermeladas y confituras de fresa	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:breakfasts,en:spreads,en:fruits-based-foods,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:berry-jams,en:strawberry-jams	Sin gluten, Punto Verde	en:no-gluten,en:green-dot	España	en:spain	Hacendado	hacendado	0																	strawberry, sugar, glucose and fructose syrup, thickener (pectin), acidulant (citric acid), antioxidant (ascorbic acid), preservatives (potassium sorbate, sodium benzoate),	Fresa, azúcar, jarabe de glucosa y fructosa, espesante (pectina), acidulante (ácido cítrico), antioxidante (ácido ascórbico), conservadores (sorbato potásico, benzoato sódico),											100g	100g	922	kJ	217	kcal	0.1	g	0	g	53	g	46.9	g	1.5	g	0.3	g	0	g	0	g			922	kJ																																																														en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	c	10	b	60	1	31024	-5	-15	1	0																App - yuka, Apps, App - InFood
08142788			es					Mermelada Maribel																					Maribel	maribel		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams	Vegetariano, Vegano	en:vegetarian,en:vegan	España	en:spain			0																													100g	100g																																																																																						en:sweets	en:sugary-snacks,en:sweets		unknown	unknown		b	60	1	31024	-5	-15	1	0																
20041571			es					Mermelada fresa LIDL	Mermelada extra de fresa													Confiture de fruits			400gr				Lidl	lidl		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de frutas del bosque, Mermeladas y confituras de fresa, en:Mermeladas-y-confituras	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:berry-jams,en:strawberry-jams,en:mermeladas-y-confituras	Sin gluten, Punto Verde, Sin colorantes	en:no-gluten,en:green-dot,en:no-colorings	España	en:spain			0																		euta de fresa. Elaborado con 60g de fruta por 100g. Contenido total de lp : 60% fresa, azúcar, espesante: pectinas; acidulante: ácido ctric n Peso neto: 650 g LDL Conservación: Conservar en lugat SRCO y tresc0. Una vẹz ahietn Información nutricional oll)g Valor energético 767K/B k Grasas de las cuales, saturadas Og Hidratos de carbono de los cuales, azúcares 49 Fibra alimentaria Proteínas Sal Envasado en Espaia. 139 1:d1 Sun ngrcados SAU, 059	Fraise 60%, sucre, épaississants: pectine, acidifiant: acide citrique									null	100g	100g	767	kJ	181	kcal	0	g	0	g	44	g	42.7	g	0	g	0.5	g	0	g	0	g			767	kJ																																																														en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	11	b	60	1	31024	-5	-15	1	0																App - elcoco, App - yuka, Apps, App - El CoCo
20000684			es				Frutos silvestres	Confitura Frutos Silvestres	Fruits rouges extra																450 g	100.0 g	Vidrio	en:glass	Maribel	maribel		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Desayunos, Untables, Frutas y sus productos, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Frutas, Confitura, Frutas del bosque, Mermeladas y confituras de frutas del bosque, Mermeladas y confituras multifruta, Mermeladas y confituras de frutas del bosque variadas	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:breakfasts,en:spreads,en:fruits-based-foods,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:fruits,en:jams,en:berries,en:berry-jams,en:mixed-fruit-jams,en:mixed-berry-jams			Francia, Alemania, Países Bajos, España	en:france,en:germany,en:netherlands,en:spain	Lidl	lidl	0																	fruits (raspberries (25%), blueberries (13%), blackberries (12%)), sugar, glucose-fructose syrup, gelling agent : pectin, acidifier : citric acid,	50% frutos silvestres (25 % framboesa, 13% mirtlo, 12% amora), açúcar, gelificante: pectinas; acidificante: ácido cítico. Consenar em local seco e fresco. Depois de aberto, conservar no frigorfico e consumir no prazo máximo de 30 dias. Consumir de preferência antes de: ver rebordo da tampa. Alhucht Vertriebs GmbH, Postfach 11 04 02, 40504 Düsseldorf, Alemanha. Peso neto:/Peso liquido: CONTENEDOR ECOPONTO 450ge 70 2000 VERDE VERDE GL C/FE 7125	Fruits (framboises (25%), myrtilles (13%), mûres (12%)), sucre, sirop de glucose-fructose, gélifiant : pectine, acidifiant : acide citrique,										serving	100g	972	kJ	236	kcal	0.2	g	0.1	g	55.5	g	55.4	g			0.7	g	0.02	g	0.008	g			972	kJ	0.1	g									0.005	g																	50	g							en:glass																									en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	11	b	67		13997	-5	-2	0	0																App - yuka, Apps, App - El CoCo, App - InFood, App - Open Food Facts, App - macrofactor
73104735			en				Old english marmelad		Old English marmelade																470 g	470g			Onos	onos		Plant-based foods and beverages, Plant-based foods, Breakfasts, Spreads, Plant-based spreads, Sweet spreads, Fruit and vegetable preserves, Jams, Citrus jams, Marmalades, Orange jams	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:citrus-jams,en:marmalades,en:orange-jams			Spain	en:spain			0																		Azucar, naranjas, naranjas amargas, limones, acido (acido citrico), espesante (pectina).											100g	100g			270	kcal	0	g	0	g	65	g	65	g			0	g	0	g	0	g			270	kcal																																																														en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	13	b	72	1	31039	-5	-15	1	0																App - Yuka, Apps
4056489189039			pt											Groselhas-negras com mel											245 g				Alpen Fest Style	alpen-fest-style		"Alimentos e bebidas à base de plantas, Alimentos à base de plantas, Pequenos alomoços, Produtos para barrar, Produtos para barrar à base de plantas, Doces para barrar, Conservas de fruta, Doces"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams			Portugal, Espanha	en:portugal,en:spain	Lidl	lidl	0																													100g	100g			182	kcal	0.4	g	0.1	g	41.59	g	38.1	g			0.7	g							182	kcal																																																														en:sweets	en:sugary-snacks,en:sweets		unknown	unknown		b	60	1	31024	-5	-15	1	0																App - yuka, Apps, App - Open Food Facts
4056489408642			es					Mermelada Extra Melocotón																	350g				Lidl,boulé Lidl	lidl,boule-lidl		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas, Mermeladas y confituras de melocotón	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:marmalades,en:peach-jams	Sin gluten, Nutriscore, Nutriscore A	en:no-gluten,en:nutriscore,en:nutriscore-grade-a	España	en:spain			0																		Melocotón, agua, edulcorantes: maltitol, sucralosa; fibra, espesante: pectinas; acidulante: ácido cítrico; conservador: sorbato potásico; aroma.											100g	100g	180	kJ	47	kcal	0	g	0	g	17	g	5.4	g	5.9	g	0.5	g	0	g	0	g			180	kJ																																																														en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	a	-5	b	70	1	31037	-5	-15	1	0																App - El CoCo, Apps, App - smoothie-openfoodfacts
8402001009266			en			Fresa Morango 0 Azucares																			380g				Hacendado	hacendado		Plant-based foods and beverages, Plant-based foods, Breakfasts, Spreads, Plant-based spreads, Sweet spreads, Fruit and vegetable preserves, Jams, Berry jams, Strawberry jams, Mermelada	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:berry-jams,en:strawberry-jams,en:mermelada	No added sugar, No colorings	en:no-added-sugar,en:no-colorings	Germany, Spain	en:germany,en:spain	Hacendado	hacendado	0																		Fresa, agua, edulcorantes (jarabe de sorbitol, sucralosa, glucósidos de VALORES MEDIOS MEDIOS esteviol procedentes de estevia), gelificante (pectina, lactato cálcico), acidulante (ácido cítrico), concentrado de grosella y zanahoria, conservador											100g	100g			40	kcal	0	g	0	g	11.5	g	3.4	g			0.6	g							40	kcal																																																														en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	unknown		b	60	1	31024	-5	-15	1	0																App - smoothie-openfoodfacts, Apps, App - Waistline, App - Speisekammer
8410134019489			es					Mermelada Diet Naranja Amarga																	290 g				La Vieja Fábrica	la-vieja-fabrica		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de cítricos, Mermeladas y confituras de naranja	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:citrus-jams,en:orange-jams	Sin gluten, en:Suitable for diabetics	en:no-gluten,en:suitable-for-diabetics	España	en:spain			0																		Fructosa, naranjas amargas de Sevilla, gelificante (pectina), corrector de acidez (ácido cítrico). conservador (8-202), antioxidante: ácido ascórbico. Elaborado con 48 g de Naranjas amargas por 100 g Cmtemido otal de azúcares 52 g por 100 g											100g	100g			211	kcal	0	g	0	g	52	g	52	g			0.4	g	0	g	0	g			211	kcal																															48	g																														en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	11	b	72	1	31039	-5	-15	1	0																App - yuka, Apps, app-elcoco
8410095041819			es					Mermelada extra Albaricoque azúcar de caña																					Helios	helios		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Confituras de albaricoque, Mermeladas	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:apricot-jams,en:marmalades	Sin gluten	en:no-gluten	España	en:spain			0																													100g	100g			197	kcal	0	g	0	g	48	g	46.7	g			0.5	g	0	g	0	g			197	kcal																																																														en:sweets	en:sugary-snacks,en:sweets		unknown	d	11	b	70	1	31037	-5	-15	1	0																App - yuka, Apps, App - El CoCo
8436026163559			es					Mermelada extra de fresa Diet																		20g			Bebé	bebe		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de frutas del bosque, Mermeladas y confituras de fresa	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:berry-jams,en:strawberry-jams	Sin azúcares añadidos	en:no-added-sugar	España	en:spain			0																	strawberry, water, fiber, sweeteners (maltitol and sucralose), elderberry concentrate, thickener: pectin, acidifier: citric acid, preservative: potassium sorbate and flavor.	Fresa, agua, fibra, edulcorantes (maltitol y sucralosa), concentrado de saúco, espesante: pectina, acidulante: ácido cítrico, conservador: sorbato potásico y aroma.											100g	100g	181	kJ	44	kcal	0	g	0	g	17	g	4.2	g	6.4	g	0.5	g	0	g	0	g			181	kJ																	5	g																																												en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	a	-6	b	60	1	31024	-5	-15	1	0																App - yuka, Apps, App - El CoCo
20000790			es			Marmelade Oranges			Orangen Marmelade																450g		Bote de vidrio	es:bote-de-vidrio	Maribel	maribel		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de cítricos, Mermeladas, Mermeladas y confituras de naranja	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:citrus-jams,en:marmalades,en:orange-jams	Hecho en Alemania	en:made-in-germany	Francia, Alemania, España	en:france,en:germany,en:spain	Lidl	lidl	0																		Azúcar, 35% naranja, agua, acidulante: ácido cítrico; gelificante: pectinas.	sirop de glucose - fructose, oranges, sucre, gélifiant: pectines ; acidifiant : acide citrique.										100g	100g	1012	kJ	238	kcal	0.2	g	0.1	g	58.1	g	57.4	g			0.1	g	0	g	0	g			1012	kJ																																				en:pot	es:97 C/GL/FE	en:recycle-in-glass-bin																								en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	13	b	77		31039	-5	-10	0	0																App - yuka, Apps, App - smoothie-openfoodfacts
8436008183018			es					Confettura di Cactus																	240 g		Vidrio, Tarro	en:glass,en:jar	Bernardo's	bernardo-s		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Untables, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:marmalades	Punto Verde, Sin colorantes, en:producto de Canarias	en:green-dot,en:no-colorings,en:producto-de-canarias	Alemania, España	en:germany,en:spain	SuperDino	superdino	0		España	en:spain			Spain,Canary islands	spain,canary-islands											Azúcar, tuno indio, gelificante (pectina) y acidulante (ácido cítrico).											100g	100g	1060	kJ	250	kcal	0.1	g	0.01	g	62	g	60	g			0.15	g	0.02	g	0.008	g			1060	kJ																																				en:jar	en:clear-glass					en:unknown	en:clear-glass																		https://www.bernardos.org/es/productos	en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	13	b	79		31024	3	-4	0	0																App - yuka, Apps
8410175032904			es					Mermelada de fresas de temporada													Mermelada extra de fresa				350 g		Bote de vidrio, Green dot	es:bote-de-vidrio,es:green-dot	Hero	hero		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Desayunos, Untables, Frutas y sus productos, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de frutas del bosque, Mermeladas y confituras de fresa	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:breakfasts,en:spreads,en:fruits-based-foods,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:berry-jams,en:strawberry-jams	Sin gluten, Sin conservantes, Punto Verde, Sin colorantes	en:no-gluten,en:no-preservatives,en:green-dot,en:no-colorings	España	en:spain	Carrefour,Mercadona	carrefour,mercadona	0		España	en:spain			España	espana					ES 21.00263/MU EC	es-21-00263-mu-ec				strawberry, sugar, gelling agent (fruit pectin), cherry concentrate, aronia concentrate, lemon concentrate,	Fresa, azúcar, gelificante (pectina de frutas), concentrado de guinda, concentrado de aronia, concentrado de limón,											100g	100g	931	kJ	219	kcal	0.1	g	0	g	53	g	50	g	1.5	g	0.6	g	0	g	0	g	0	% vol	931	kJ																																				en:pot	en:glass																								https://www.hero.es/home/mermelada-de-fresa-de-temporada	en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	c	9	a	81		31024	3	-2	0	0																App - yuka, Apps, App - InFood, App - smoothie-openfoodfacts
0084380957048			en				Mermelada cereza negra		St.dalfour, Deluxe Spread Black Cherry 225ml																284 g	1 Tbsp (20 g)			St. Dalfour	st-dalfour	Charles Jacquin Et Cie Inc.	Plant-based foods and beverages, Plant-based foods, Breakfasts, Spreads, Plant-based spreads, Sweet spreads, Fruit and vegetable preserves, Jams, Cherry jams	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams,en:cherry-jams	No artificial flavors, No preservatives, No colorings	en:no-artificial-flavors,en:no-preservatives,en:no-colorings	France, Spain, United States	en:france,en:spain,en:united-states			0																	Black cherries, sweetened only with fruit juice concentrates (grape and date), fruit pectin, lemon juice.												100g	100g			213	kcal	0	g	0	g	52	g	47	g	1.6	g	0.5	g	0.03	g	0.012	g			213	kcal									0	g																																																				en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	c	6	d	25	1	31038	-5	-15	1	0		2018-08-12T00:00:00Z	Jam, Jelly & Fruit Spreads	LI	377118	2018-08-12T00:00:00Z	2019-04-01T00:00:00Z									Database - USDA NDB, Databases, App - elcoco, App - yuka, Apps, database-usda, App - El CoCo, App - smoothie-openfoodfacts
